year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20976.54688,133.5162506,4.317908287
2025,3,21043.15234,133.4273376,4.43018198
2025,4,21140.22266,133.3734589,4.533494949
2026,1,21205.68164,133.2969513,4.663490295
2026,2,21279.31055,133.1884918,4.767282963
2026,3,21359.76367,133.0637665,4.82560873
2026,4,21453.75,132.9967957,4.858406067
2027,1,21552.68945,132.9826355,4.875515938
2027,2,21649.67188,133.0099335,4.878873825
2027,3,21750.50195,133.0794067,4.863447189
2027,4,21855.60547,133.1933899,4.827210903
2028,1,21960.77734,133.3437195,4.77625227
2028,2,22061.38477,133.5146942,4.722587109
2028,3,22166.59961,133.7037506,4.660852909
2028,4,22277.98242,133.9255524,4.591434479
2029,1,22381.42969,134.1492462,4.523339272
2029,2,22490.41602,134.3861084,4.456977367
2029,3,22583.55078,134.5927887,4.407348633
2029,4,22680.85742,134.7796783,4.369727612
2030,1,22780.04883,134.9327087,4.328496456
2030,2,22890.19336,135.0870514,4.301194668
2030,3,22982.59375,135.2276459,4.264306068
2030,4,23078.73438,135.3889008,4.25314045
2031,1,23176.83398,135.5383453,4.240344524
2031,2,23277.58594,135.6776276,4.224436283
2031,3,23376.94141,135.8056183,4.209791183
2031,4,23476.31445,135.9249725,4.19956255
2032,1,23577.6543,136.0388641,4.190337181
2032,2,23681.44141,136.1520996,4.180277824
2032,3,23785.43164,136.262085,4.168664455
2032,4,23889.20117,136.3689728,4.159754276
2033,1,23995.31836,136.4750519,4.151279449
2033,2,24104.32422,136.5839539,4.140878677
2033,3,24211.36914,136.6871338,4.130214214
2033,4,24316.85547,136.7817993,4.125293732
2034,1,24424.73438,136.8712616,4.123478889
2034,2,24536.27344,136.9617157,4.121295929
2034,3,24647.46289,137.0476532,4.114561081
2034,4,24758.9375,137.1302032,4.110524178
2035,1,24873.48438,137.2102051,4.109311581
2035,2,24989.20313,137.2925262,4.107140064
2035,3,25102.23242,137.3656769,4.107949734
2035,4,25213.41211,137.4276428,4.116631031
