year,quarter,GDP,LEB,LURC
2024,3,20707.941406,132.999847,4.174790
2024,4,20805.109375,133.350632,4.192771
2025,1,20907.507813,133.502197,4.228922
2025,2,20966.921875,133.494156,4.330235
2025,3,21022.650391,133.364319,4.464004
2025,4,21120.488281,133.286331,4.588726
2026,1,21192.279297,133.217804,4.727496
2026,2,21262.814453,133.103256,4.830062
2026,3,21345.705078,132.959427,4.867414
2026,4,21467.089844,132.933105,4.852832
2027,1,21559.357422,132.960281,4.857709
2027,2,21673.181641,133.060089,4.839399
2027,3,21751.748047,133.151825,4.841475
2027,4,21840.822266,133.228836,4.830417
2028,1,21937.646484,133.319489,4.801793
2028,2,22040.318359,133.448288,4.763046
2028,3,22150.199219,133.621323,4.706714
2028,4,22263.863281,133.841431,4.637903
2029,1,22367.433594,134.067871,4.568410
2029,2,22475.353516,134.305130,4.501612
2029,3,22568.021484,134.511215,4.451686
2029,4,22665.929688,134.699234,4.412673
2030,1,22766.560547,134.858154,4.367491
2030,2,22878.386719,135.020905,4.335621
2030,3,22972.283203,135.172333,4.293406
2030,4,23069.404297,135.344574,4.276987
2031,1,23168.082031,135.504105,4.259675
2031,2,23269.902344,135.654160,4.239057
2031,3,23370.822266,135.794327,4.219084
2031,4,23471.236328,135.925034,4.204130
2032,1,23572.330078,136.046097,4.192390
2032,2,23675.416016,136.162003,4.181912
2032,3,23778.230469,136.270050,4.171845
2032,4,23882.189453,136.375137,4.164098
2033,1,23989.244141,136.481339,4.155753
2033,2,24099.523438,136.593903,4.143663
2033,3,24207.753906,136.702911,4.130412
2033,4,24314.013672,136.804626,4.122374
2034,1,24422.398438,136.900009,4.118303
2034,2,24534.201172,136.997040,4.113172
2034,3,24645.767578,137.086731,4.105339
2034,4,24757.441406,137.174179,4.099288
2035,1,24872.457031,137.258301,4.096426
2035,2,24988.380859,137.344162,4.093215
2035,3,25101.703125,137.421738,4.092161
2035,4,25213.015625,137.486450,4.100083
