year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20966.92188,133.4941559,4.330235004
2025,3,21022.65039,133.3643188,4.46400404
2025,4,21120.48828,133.2863312,4.588725567
2026,1,21192.2793,133.217804,4.72749567
2026,2,21262.81445,133.1032562,4.830062389
2026,3,21345.70508,132.9594269,4.867414474
2026,4,21486.52539,132.9765625,4.82881403
2027,1,21566.78906,133.0138245,4.829880238
2027,2,21693.43555,133.1306458,4.786670208
2027,3,21779.79492,133.2590485,4.768805981
2027,4,21872.61133,133.3771973,4.745589733
2028,1,21967.21094,133.4918823,4.710513115
2028,2,22066.62109,133.6256104,4.672299385
2028,3,22173.91797,133.7911682,4.621394634
2028,4,22285.79492,133.9981232,4.559822559
2029,1,22388.40039,134.2100067,4.497899532
2029,2,22495.22852,134.4325104,4.438775063
2029,3,22586.42383,134.6232147,4.396562099
2029,4,22682.79883,134.7958221,4.364897728
2030,1,22781.94336,134.9383698,4.327438354
2030,2,22892.57813,135.0860596,4.302311897
2030,3,22985.55273,135.2238922,4.265762806
2030,4,23081.96094,135.3847809,4.253911018
2031,1,23180.20703,135.5352173,4.240082741
2031,2,23281.5625,135.6780243,4.222033501
2031,3,23381.97852,135.8123016,4.204101086
2031,4,23481.69531,135.9378967,4.190929413
2032,1,23582,136.0541382,4.180901527
2032,2,23684.76563,136.1657104,4.172070026
2032,3,23786.36914,136.2685242,4.163964748
2032,4,23888.95703,136.3661499,4.159367085
2033,1,23994.55859,136.4633026,4.154878616
2033,2,24103.57227,136.5665283,4.146538258
2033,3,24210.79492,136.6656647,4.137303352
2033,4,24316.25,136.7575684,4.133402348
2034,1,24424.08203,136.8450623,4.132158279
2034,2,24535.44141,136.9342041,4.130151749
2034,3,24646.47852,137.0178833,4.124329567
2034,4,24757.78125,137.0988617,4.120743752
2035,1,24872.39648,137.1775513,4.119815826
2035,2,24988.14258,137.2589874,4.117835045
2035,3,25101.28711,137.3315887,4.118693829
2035,4,25212.5625,137.3930969,4.127439499
