gtap_sector,aggregate_sector,output_baseline,output_pct_change,is_manufacturing,is_durable,is_nondurable
pdr,Agriculture,980.9050728277247,-0.45,0,0,0
wht,Agriculture,5677.165387446114,-4.89,0,0,0
gro,Agriculture,18443.58180543032,-0.19,0,0,0
v_f,Agriculture,42584.39908165302,0.18,0,0,0
osd,Agriculture,29741.868155464894,-6.86,0,0,0
c_b,Agriculture,1992.2190086765734,0.27,0,0,0
pfb,Agriculture,5616.9314079422375,-3.05,0,0,0
ocr,Agriculture,11501.954102920725,0.66,0,0,0
ctl,Agriculture,23571.392062537583,-0.22,0,0,0
oap,Agriculture,27906.078312645073,-0.91,0,0,0
rmk,Agriculture,8075.813791038819,0.21,0,0,0
wol,Agriculture,35.54170561961151,-3.73,0,0,0
frs,Agriculture,31404.47501007658,-0.76,0,0,0
fsh,Agriculture,5337.044817927171,-0.04,0,0,0
coa,Mining,24059.23200967547,-0.78,0,0,0
oil,Mining,95267.67322239031,-0.85,0,0,0
gas,Mining,40000.44254892122,-0.35,0,0,0
oxt,Mining,135077.38764919562,-3.65,0,0,0
cmt,Manufacturing,29203.689603214465,-0.45,1,0,1
omt,Manufacturing,20978.848607594937,-1.25,1,0,1
vol,Manufacturing,7528.995290423861,1.92,1,0,1
mil,Manufacturing,23399.082834331337,0.2,1,0,1
pcr,Manufacturing,529.6070585821278,-2.53,1,0,1
sgr,Manufacturing,9561.581293966115,0.93,1,0,1
ofd,Manufacturing,118652.28724992536,0.47,1,0,1
b_t,Manufacturing,69583.92739273926,-0.01,1,0,1
tex,Manufacturing,16929.661865448797,13.86,1,0,1
wap,Manufacturing,8650.953782239916,15.54,1,0,1
lea,Manufacturing,3442.20567867036,15.52,1,0,1
lum,Manufacturing,28251.25594766059,0.88,1,1,0
ppp,Manufacturing,102852.07270536252,-0.42,1,0,1
p_c,Manufacturing,23588.241802454235,-0.58,1,0,1
chm,Manufacturing,185183.88441261314,0.53,1,0,1
bph,Manufacturing,107573.30478745358,-3.08,1,0,1
rpp,Manufacturing,76580.67209971238,4.3,1,0,1
nmm,Manufacturing,47760.7976901243,2.17,1,1,0
i_s,Manufacturing,35768.618212353045,7.18,1,1,0
nfm,Manufacturing,37656.43720651414,0.09,1,1,0
fmp,Manufacturing,146598.5062391839,9.79,1,1,0
ele,Manufacturing,261529.46954039956,1.61,1,0,0
eeq,Manufacturing,62592.189370578635,10.26,1,1,0
ome,Manufacturing,149977.5937133932,2.44,1,1,0
mvh,Manufacturing,121393.90164561808,4.52,1,1,0
otn,Manufacturing,89658.60759493671,-1.25,1,1,0
omf,Manufacturing,383690.220435194,5.7,1,1,0
ely,Utilities,182463.7247487312,0.49,0,0,0
gdt,Utilities,24734.26159499454,0.69,0,0,0
wtr,Utilities,100986.81582101477,0.12,0,0,0
cns,Construction,884764.1172176453,-4.11,0,0,0
trd,Services,1618085.6949729621,-0.14,0,0,0
afs,Services,604974.8221264656,-0.21,0,0,0
otp,Services,292443.99400599406,0.1,0,0,0
wtp,Services,14133.994487545937,-2.04,0,0,0
atp,Services,81012.21650005049,-0.97,0,0,0
whs,Services,68622.02825934463,-0.21,0,0,0
cmn,Services,719861.4479135091,-1.03,0,0,0
ofi,Services,830354.2234223422,-0.01,0,0,0
ins,Services,482879.3602391629,0.35,0,0,0
rsa,Services,928219.4524669073,-0.28,0,0,0
obs,Services,2901001.4716330054,-1.47,0,0,0
ros,Services,493409.7877640494,0.36,0,0,0
osg,Services,1205933.9852692347,0.47,0,0,0
edu,Services,841831.3259008562,0.46,0,0,0
hht,Services,1500328.7640561252,0.49,0,0,0
dwe,Services,1190086.7969447474,0.81,0,0,0
