bea_code,pce
1111A0,0
1111B0,2483
111200,19881
111300,24499
111400,13189
111900,3958
112120,165
1121A0,97
112300,5227
112A00,6023
113000,0
114000,6448
115000,124
211000,0
212100,121
212230,0
2122A0,0
212310,0
2123A0,52
213111,0
21311A,0
221100,177661
221200,48152
221300,39603
233210,0
233262,0
230301,0
230302,0
2332A0,0
233412,0
2334A0,0
233230,0
2332D0,0
233240,0
233411,0
2332C0,0
321100,0
321200,0
321910,0
3219A0,3143
327100,2530
327200,5566
327310,0
327320,0
327330,0
327390,53
327400,26
327910,188
327991,3169
327992,41
327993,0
327999,0
331110,0
331200,674
331313,0
33131B,0
331410,0
331420,0
331490,53
331510,0
331520,20
332114,0
33211A,0
332119,199
332200,5626
332310,59
332320,0
332410,0
332420,0
332430,409
332500,1023
332600,98
332710,0
332720,411
332800,0
332913,0
33291A,0
332991,0
332996,0
33299A,6829
332999,1975
333111,0
333112,760
333120,0
333130,0
333242,0
33329A,277
333314,24
333316,492
333318,263
333414,1237
333415,2760
333413,0
333511,0
333514,0
333517,99
33351B,0
333611,0
333612,0
333613,0
333618,225
333912,0
333914,0
333920,0
333991,2417
333993,0
333994,0
33399A,317
33399B,0
334111,20604
334112,2867
334118,8828
334210,442
334220,10883
334290,7
334413,0
334418,59
33441A,108
334510,4151
334511,21
334512,0
334513,0
334514,0
334515,0
334516,0
334517,0
33451A,4456
334300,20568
334610,176
335110,633
335120,2029
335210,10580
335220,20303
335311,6
335312,91
335313,64
335314,0
335911,4205
335912,2160
335920,0
335930,0
335991,0
335999,206
336111,20107
336112,136403
336120,0
336211,81
336212,0
336213,5682
336214,11675
336310,3369
336320,3441
336350,2878
336360,0
336370,0
336390,5114
3363A0,1476
336411,927
336412,0
336413,0
336414,0
33641A,0
336500,0
336611,0
336612,9035
336991,8054
336992,0
336999,4007
337110,0
337121,15986
337122,13290
337127,1
33712N,6624
337215,402
33721A,71
337900,10494
339112,46
339113,8679
339114,0
339115,10342
339116,0
339910,14008
339920,12707
339930,20244
339940,2306
339950,0
339990,17640
311111,17722
311119,2340
311210,3039
311221,1863
311225,3107
311224,2714
311230,9192
311300,27453
311410,27834
311420,25702
311513,17247
311514,9647
31151A,24544
311520,1881
311615,35940
31161A,71550
311700,6329
311810,44483
3118A0,21597
311910,28768
311920,7850
311930,597
311940,13534
311990,22683
312110,42246
312120,25930
312130,19401
312140,12490
312200,56674
313100,44
313200,876
313300,507
314110,6282
314120,9489
314900,3850
315000,100488
316000,43143
322110,0
322120,11736
322130,0
322210,771
322220,1895
322230,742
322291,7043
322299,490
323110,2802
323120,0
324110,169120
324121,0
324122,0
324190,7201
325110,0
325120,363
325130,0
325180,19
325190,642
325211,0
3252A0,0
325411,0
325412,196765
325413,0
325414,0
325310,141
325320,1157
325510,2362
325520,1630
325610,17539
325620,33003
325910,0
3259A0,2038
326110,2803
326120,0
326130,0
326140,705
326150,562
326160,0
326190,14796
326210,14316
326220,520
326290,1308
423100,23358
423400,35422
423600,29050
423800,4474
423A00,66712
424200,90503
424400,90702
424700,64665
424A00,157672
425000,3610
4200ID,0
441000,254196
445000,234329
452000,219688
444000,50101
446000,119329
447000,77900
448000,138795
454000,252459
4B0000,199714
481000,130993
482000,7817
483000,23267
484000,85348
485000,47460
486000,2986
48A000,11399
492000,6456
493000,251
511110,13189
511120,8236
511130,17282
5111A0,7921
511200,48204
512100,21990
512200,1752
515100,11653
515200,0
517110,201552
517210,122323
517A00,13485
518200,31753
519130,10416
5191A0,4546
522A00,42387
52A000,236363
523900,177895
523A00,47331
524113,90314
5241XX,308251
524200,0
525000,170526
531HSO,1553178
531HST,467675
531ORE,5861
532100,78600
532400,441
532A00,18051
533000,0
541100,104093
541511,0
541512,0
54151A,0
541200,17900
541300,0
541610,0
5416A0,0
541700,5303
541800,766
541400,7558
541920,7156
541940,33726
5419A0,0
550000,0
561300,1879
561700,21348
561100,0
561200,0
561400,6344
561500,23394
561600,11365
561900,159
562000,28334
611100,53010
611A00,238722
611B00,68474
621100,491310
621200,129315
621300,94125
621400,160922
621500,38265
621600,107517
621900,29419
622000,1039196
623A00,187578
623B00,54042
624100,112901
624400,56995
624A00,55383
711100,32596
711200,21320
711500,472
711A00,11360
712000,21225
713100,17522
713200,111858
713900,80832
721000,163295
722110,279233
722211,344723
722A00,107894
811100,164881
811200,4114
811300,0
811400,22333
812100,79038
812200,21338
812300,14091
812900,71772
813100,100202
813A00,58233
813B00,58624
814000,18684
S00500,0
S00600,0
491000,6914
S00102,0
GSLGE,0
GSLGH,0
GSLGO,0
S00203,72509
S00401,-12990
S00402,94319
S00300,110221
S00900,-200997
