summary_code,detail_code,detail_description
111CA,1111A0,Oilseed farming
111CA,1111B0,Grain farming
111CA,111200,Vegetable and melon farming
111CA,111300,Fruit and tree nut farming
111CA,111400,"Greenhouse, nursery, and floriculture production"
111CA,111900,Other crop farming
111CA,112120,Dairy cattle and milk production
111CA,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
111CA,112300,Poultry and egg production
111CA,112A00,"Animal production, except cattle and poultry and eggs"
113FF,113000,Forestry and logging
113FF,114000,"Fishing, hunting and trapping"
113FF,115000,Support activities for agriculture and forestry
211,211000,Oil and gas extraction
212,212100,Coal mining
212,212230,"Copper, nickel, lead, and zinc mining"
212,2122A0,"Iron, gold, silver, and other metal ore mining"
212,212310,Stone mining and quarrying
212,2123A0,Other nonmetallic mineral mining and quarrying
213,213111,Drilling oil and gas wells
213,21311A,Other support activities for mining
22,221100,"Electric power generation, transmission, and distribution"
22,221200,Natural gas distribution
22,221300,"Water, sewage and other systems"
23,230301,Nonresidential maintenance and repair
23,230302,Residential maintenance and repair
23,233210,Health care structures
23,233230,Manufacturing structures
23,233240,Power and communication structures
23,233262,Educational and vocational structures
23,2332A0,Office and commercial structures
23,2332C0,Transportation structures and highways and streets
23,2332D0,Other nonresidential structures
23,233411,Single-family residential structures
23,233412,Multifamily residential structures
23,2334A0,Other residential structures
311FT,311111,Dog and cat food manufacturing
311FT,311119,Other animal food manufacturing
311FT,311210,Flour milling and malt manufacturing
311FT,311221,Wet corn milling
311FT,311224,Soybean and other oilseed processing
311FT,311225,Fats and oils refining and blending
311FT,311230,Breakfast cereal manufacturing
311FT,311300,Sugar and confectionery product manufacturing
311FT,311410,Frozen food manufacturing
311FT,311420,"Fruit and vegetable canning, pickling, and drying"
311FT,311513,Cheese manufacturing
311FT,311514,"Dry, condensed, and evaporated dairy product manufacturing"
311FT,31151A,Fluid milk and butter manufacturing
311FT,311520,Ice cream and frozen dessert manufacturing
311FT,311615,Poultry processing
311FT,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
311FT,311700,Seafood product preparation and packaging
311FT,311810,Bread and bakery product manufacturing
311FT,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
311FT,311910,Snack food manufacturing
311FT,311920,Coffee and tea manufacturing
311FT,311930,Flavoring syrup and concentrate manufacturing
311FT,311940,Seasoning and dressing manufacturing
311FT,311990,All other food manufacturing
311FT,312110,Soft drink and ice manufacturing
311FT,312120,Breweries
311FT,312130,Wineries
311FT,312140,Distilleries
311FT,312200,Tobacco manufacturing
313TT,313100,"Fiber, yarn, and thread mills"
313TT,313200,Fabric mills
313TT,313300,Textile and fabric finishing and fabric coating mills
313TT,314110,Carpet and rug mills
313TT,314120,Curtain and linen mills
313TT,314900,Other textile product mills
315AL,315000,Apparel manufacturing
315AL,316000,Leather and allied product manufacturing
321,321100,Sawmills and wood preservation
321,321200,"Veneer, plywood, and engineered wood product manufacturing"
321,321910,Millwork
321,3219A0,All other wood product manufacturing
322,322110,Pulp mills
322,322120,Paper mills
322,322130,Paperboard mills
322,322210,Paperboard container manufacturing
322,322220,Paper bag and coated and treated paper manufacturing
322,322230,Stationery product manufacturing
322,322291,Sanitary paper product manufacturing
322,322299,All other converted paper product manufacturing
323,323110,Printing
323,323120,Support activities for printing
324,324110,Petroleum refineries
324,324121,Asphalt paving mixture and block manufacturing
324,324122,Asphalt shingle and coating materials manufacturing
324,324190,Other petroleum and coal products manufacturing
325,325110,Petrochemical manufacturing
325,325120,Industrial gas manufacturing
325,325130,Synthetic dye and pigment manufacturing
325,325180,Other basic inorganic chemical manufacturing
325,325190,Other basic organic chemical manufacturing
325,325211,Plastics material and resin manufacturing
325,3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing
325,325310,Fertilizer manufacturing
325,325320,Pesticide and other agricultural chemical manufacturing
325,325411,Medicinal and botanical manufacturing
325,325412,Pharmaceutical preparation manufacturing
325,325413,In-vitro diagnostic substance manufacturing
325,325414,Biological product (except diagnostic) manufacturing
325,325510,Paint and coating manufacturing
325,325520,Adhesive manufacturing
325,325610,Soap and cleaning compound manufacturing
325,325620,Toilet preparation manufacturing
325,325910,Printing ink manufacturing
325,3259A0,All other chemical product and preparation manufacturing
326,326110,Plastics packaging materials and unlaminated film and sheet manufacturing
326,326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing"
326,326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing"
326,326140,Polystyrene foam product manufacturing
326,326150,Urethane and other foam product (except polystyrene) manufacturing
326,326160,Plastics bottle manufacturing
326,326190,Other plastics product manufacturing
326,326210,Tire manufacturing
326,326220,Rubber and plastics hoses and belting manufacturing
326,326290,Other rubber product manufacturing
327,327100,Clay product and refractory manufacturing
327,327200,Glass and glass product manufacturing
327,327310,Cement manufacturing
327,327320,Ready-mix concrete manufacturing
327,327330,"Concrete pipe, brick, and block manufacturing"
327,327390,Other concrete product manufacturing
327,327400,Lime and gypsum product manufacturing
327,327910,Abrasive product manufacturing
327,327991,Cut stone and stone product manufacturing
327,327992,Ground or treated mineral and earth manufacturing
327,327993,Mineral wool manufacturing
327,327999,Miscellaneous nonmetallic mineral products
331,331110,Iron and steel mills and ferroalloy manufacturing
331,331200,Steel product manufacturing from purchased steel
331,331313,Alumina refining and primary aluminum production
331,331314,Secondary smelting and alloying of aluminum
331,33131B,Aluminum product manufacturing from purchased aluminum
331,331410,Nonferrous metal (except aluminum) smelting and refining
331,331420,"Copper rolling, drawing, extruding and alloying"
331,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
331,331510,Ferrous metal foundries
331,331520,Nonferrous metal foundries
332,332114,Custom roll forming
332,332119,"Metal crown, closure, and other metal stamping (except automotive)"
332,33211A,"All other forging, stamping, and sintering"
332,332200,Cutlery and handtool manufacturing
332,332310,Plate work and fabricated structural product manufacturing
332,332320,Ornamental and architectural metal products manufacturing
332,332410,Power boiler and heat exchanger manufacturing
332,332420,Metal tank (heavy gauge) manufacturing
332,332430,"Metal can, box, and other metal container (light gauge) manufacturing"
332,332500,Hardware manufacturing
332,332600,Spring and wire product manufacturing
332,332710,Machine shops
332,332720,"Turned product and screw, nut, and bolt manufacturing"
332,332800,"Coating, engraving, heat treating and allied activities"
332,332913,Plumbing fixture fitting and trim manufacturing
332,33291A,Valve and fittings other than plumbing
332,332991,Ball and roller bearing manufacturing
332,332996,Fabricated pipe and pipe fitting manufacturing
332,332999,Other fabricated metal manufacturing
332,33299A,"Ammunition, arms, ordnance, and accessories manufacturing"
333,333111,Farm machinery and equipment manufacturing
333,333112,Lawn and garden equipment manufacturing
333,333120,Construction machinery manufacturing
333,333130,Mining and oil and gas field machinery manufacturing
333,333242,Semiconductor machinery manufacturing
333,33329A,Other industrial machinery manufacturing
333,333314,Optical instrument and lens manufacturing
333,333316,Photographic and photocopying equipment manufacturing
333,333318,Other commercial and service industry machinery manufacturing
333,333413,Industrial and commercial fan and blower and air purification equipment manufacturing
333,333414,Heating equipment (except warm air furnaces) manufacturing
333,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
333,333511,Industrial mold manufacturing
333,333514,"Special tool, die, jig, and fixture manufacturing"
333,333517,Machine tool manufacturing
333,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing"
333,333611,Turbine and turbine generator set units manufacturing
333,333612,"Speed changer, industrial high-speed drive, and gear manufacturing"
333,333613,Mechanical power transmission equipment manufacturing
333,333618,Other engine equipment manufacturing
333,333912,Air and gas compressor manufacturing
333,333914,"Measuring, dispensing, and other pumping equipment manufacturing"
333,333920,Material handling equipment manufacturing
333,333991,Power-driven handtool manufacturing
333,333993,Packaging machinery manufacturing
333,333994,Industrial process furnace and oven manufacturing
333,33399A,Other general purpose machinery manufacturing
333,33399B,Fluid power process machinery
334,334111,Electronic computer manufacturing
334,334112,Computer storage device manufacturing
334,334118,Computer terminals and other computer peripheral equipment manufacturing
334,334210,Telephone apparatus manufacturing
334,334220,Broadcast and wireless communications equipment
334,334290,Other communications equipment manufacturing
334,334300,Audio and video equipment manufacturing
334,334413,Semiconductor and related device manufacturing
