nipa_line,major_category,top_level
5,Motor vehicles and parts,Durable goods
6,Motor vehicles and parts,Durable goods
7,Motor vehicles and parts,Durable goods
9,Furnishings and durable household equipment,Durable goods
10,Furnishings and durable household equipment,Durable goods
11,Furnishings and durable household equipment,Durable goods
12,Furnishings and durable household equipment,Durable goods
14,Recreational goods and vehicles,Durable goods
15,Recreational goods and vehicles,Durable goods
16,Recreational goods and vehicles,Durable goods
17,Recreational goods and vehicles,Durable goods
18,Recreational goods and vehicles,Durable goods
20,Other durable goods,Durable goods
21,Other durable goods,Durable goods
22,Other durable goods,Durable goods
23,Other durable goods,Durable goods
24,Other durable goods,Durable goods
27,Food and beverages purchased for off-premises consumption,Nondurable goods
28,Food and beverages purchased for off-premises consumption,Nondurable goods
29,Food and beverages purchased for off-premises consumption,Nondurable goods
32,Clothing and footwear,Nondurable goods
33,Clothing and footwear,Nondurable goods
34,Clothing and footwear,Nondurable goods
35,Clothing and footwear,Nondurable goods
37,Gasoline and other energy goods,Nondurable goods
38,Gasoline and other energy goods,Nondurable goods
40,Other nondurable goods,Nondurable goods
41,Other nondurable goods,Nondurable goods
42,Other nondurable goods,Nondurable goods
43,Other nondurable goods,Nondurable goods
44,Other nondurable goods,Nondurable goods
45,Other nondurable goods,Nondurable goods
46,Other nondurable goods,Nondurable goods
51,Housing,Services
52,Housing,Services
53,Housing,Services
54,Housing,Services
56,Household utilities,Services
58,Household utilities,Services
59,Household utilities,Services
62,Health care,Services
63,Health care,Services
64,Health care,Services
66,Health care,Services
67,Health care,Services
70,Transportation services,Services
71,Transportation services,Services
73,Transportation services,Services
74,Transportation services,Services
75,Transportation services,Services
77,Recreation services,Services
78,Recreation services,Services
79,Recreation services,Services
80,Recreation services,Services
83,Food services and accommodations,Services
84,Food services and accommodations,Services
85,Food services and accommodations,Services
88,Financial services and insurance,Services
89,Financial services and insurance,Services
91,Financial services and insurance,Services
92,Financial services and insurance,Services
93,Financial services and insurance,Services
94,Financial services and insurance,Services
97,Communication,Services
98,Communication,Services
99,Communication,Services
101,Education,Services
102,Education,Services
103,Education,Services
104,Other services,Services
105,Other services,Services
106,Other services,Services
107,Other services,Services
109,Net foreign travel,Services
110,Net foreign travel,Services
111,Final consumption expenditures of NPISH,Services
