year,quarter,utfibc
2024,3,2.95
2024,4,2.95
2025,1,3.00
2025,2,3.00
2025,3,3.00
2025,4,3.00
2026,1,3.10
2026,2,3.10
2026,3,3.10
2026,4,3.10
2027,1,3.10
2027,2,3.10
2027,3,3.10
2027,4,3.10
2028,1,3.10
2028,2,3.10
2028,3,3.10
2028,4,3.10
2029,1,3.10
2029,2,3.10
2029,3,3.10
2029,4,3.10
2030,1,3.10
2030,2,3.10
2030,3,3.10
2030,4,3.10
2031,1,3.10
2031,2,3.10
2031,3,3.10
2031,4,3.10
2032,1,3.10
2032,2,3.10
2032,3,3.10
2032,4,3.10
2033,1,3.10
2033,2,3.10
2033,3,3.10
2033,4,3.10
2034,1,3.10
2034,2,3.10
2034,3,3.10
2034,4,3.10
2035,1,3.10
2035,2,3.10
2035,3,3.10
2035,4,3.10
