hs6_code,gtap_code
010121,CTL
010129,CTL
010130,CTL
010190,CTL
010221,CTL
010229,CTL
010231,CTL
010239,CTL
010290,CTL
010310,OAP
010391,OAP
010392,OAP
010410,CTL
010420,CTL
010511,OAP
010512,OAP
010513,OAP
010514,OAP
010515,OAP
010594,OAP
010599,OAP
010611,OAP
010612,OAP
010613,CTL
010614,OAP
010619,OAP
010620,OAP
010631,OAP
010632,OAP
010633,OAP
010639,OAP
010641,OAP
010649,OAP
010690,OAP
020110,CMT
020120,CMT
020130,CMT
020210,CMT
020220,CMT
020230,CMT
020311,OMT
020312,OMT
020319,OMT
020321,OMT
020322,OMT
020329,OMT
020410,CMT
020421,CMT
020422,CMT
020423,CMT
020430,CMT
020441,CMT
020442,CMT
020443,CMT
020450,CMT
020500,CMT
020610,CMT
020621,CMT
020622,CMT
020629,CMT
020630,OMT
020641,OMT
020649,OMT
020680,CMT
020690,CMT
020711,OMT
020712,OMT
020713,OMT
020714,OMT
020724,OMT
020725,OMT
020726,OMT
020727,OMT
020741,OMT
020742,OMT
020743,OMT
020744,OMT
020745,OMT
020751,OMT
020752,OMT
020753,OMT
020754,OMT
020755,OMT
020760,OMT
020810,OMT
020830,OMT
020840,OMT
020850,OMT
020860,CMT
020890,OMT
020910,VOL
020990,VOL
021011,OMT
021012,OMT
021019,OMT
021020,OMT
021091,OMT
021092,OMT
021093,OMT
021099,OMT
030111,FSH
030119,FSH
030191,FSH
030192,FSH
030193,FSH
030194,FSH
030195,FSH
030199,FSH
030211,FSH
030213,FSH
030214,FSH
030219,FSH
030221,FSH
030222,FSH
030223,FSH
030224,FSH
030229,FSH
030231,FSH
030232,FSH
030233,FSH
030234,FSH
030235,FSH
030236,FSH
030239,FSH
030241,FSH
030242,FSH
030243,FSH
030244,FSH
030245,FSH
030246,FSH
030247,FSH
030249,FSH
030251,FSH
030252,FSH
030253,FSH
030254,FSH
030255,FSH
030256,FSH
030259,FSH
030271,FSH
030272,FSH
030273,FSH
030274,FSH
030279,FSH
030281,FSH
030282,FSH
030283,FSH
030284,FSH
030285,FSH
030289,FSH
030291,FSH
030292,FSH
030299,FSH
030311,OFD
030312,OFD
030313,OFD
030314,OFD
030319,OFD
030323,OFD
030324,OFD
030325,OFD
030326,OFD
030329,OFD
030331,OFD
030332,OFD
030333,OFD
030334,OFD
030339,OFD
030341,OFD
030342,OFD
030343,OFD
030344,OFD
030345,OFD
030346,OFD
030349,OFD
030351,OFD
030353,OFD
030354,OFD
030355,OFD
030356,OFD
030357,OFD
030359,OFD
030363,OFD
030364,OFD
030365,OFD
030366,OFD
030367,OFD
030368,OFD
030369,OFD
030381,OFD
030382,OFD
030383,OFD
030384,OFD
030389,OFD
030391,OFD
030392,OFD
030399,OFD
030431,OFD
030432,OFD
030433,OFD
030439,OFD
030441,OFD
030442,OFD
030443,OFD
030444,OFD
030445,OFD
030446,OFD
030447,OFD
030448,OFD
030449,OFD
030451,OFD
030452,OFD
030453,OFD
030454,OFD
030455,OFD
030456,OFD
030457,OFD
030459,OFD
030461,OFD
030462,OFD
030463,OFD
030469,OFD
030471,OFD
030472,OFD
030473,OFD
030474,OFD
030475,OFD
030479,OFD
030481,OFD
030482,OFD
030483,OFD
030484,OFD
030485,OFD
030486,OFD
030487,OFD
030488,OFD
030489,OFD
030491,OFD
030492,OFD
030493,OFD
030494,OFD
030495,OFD
030496,OFD
030497,OFD
030499,OFD
030520,OFD
030531,OFD
030532,OFD
030539,OFD
030541,OFD
030542,OFD
