year,quarter,vix
2024,3,17.1
2024,4,17.0
2025,1,17.7
2025,2,17.8
2025,3,17.8
2025,4,17.7
2026,1,17.6
2026,2,17.4
2026,3,17.1
2026,4,17.0
2027,1,16.9
2027,2,16.8
2027,3,16.8
2027,4,16.7
2028,1,16.6
2028,2,16.5
2028,3,16.4
2028,4,16.4
2029,1,16.3
2029,2,16.3
2029,3,16.3
2029,4,16.3
2030,1,16.3
2030,2,16.2
2030,3,16.2
2030,4,16.2
2031,1,16.2
2031,2,16.2
2031,3,16.2
2031,4,16.2
2032,1,16.2
2032,2,16.2
2032,3,16.2
2032,4,16.2
2033,1,16.2
2033,2,16.2
2033,3,16.2
2033,4,16.2
2034,1,16.2
2034,2,16.2
2034,3,16.2
2034,4,16.2
2035,1,16.2
2035,2,16.2
2035,3,16.2
2035,4,16.2
